PRODUÇÃO (Kg)
PRODUTO,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
RED. 10,9559.5,11891.969999999998,12689.350000000004,9892.899999999998,8663.250000000005,6403.650000000001,14778.050000000005,8856.65,9745.449999999993,7474.3,12968.749999999996,11228.409999999996,4815.349999999999,10266.730000000001,6942.01,8724.100000000004,14045.749999999998
PLATINO RED. 10,3632.8050000000003,5962.615,3193.3500000000004,6036.500000000002,1225.1000000000001,745.9000000000001,1522.2,1909.6000000000004,4178.549999999998,1472.6250000000005,3121.2000000000007,3743.2500000000023,3234.9500000000016,4561.480000000001,2479.05,2496.2999999999993,2752.65
PLATINO RED. 05,2147.8499999999995,4039.4600000000005,2321.35,3133.4000000000024,2305.899999999999,2408.3500000000013,4465.35,2818.1999999999994,1935.8000000000006,2480.299999999999,3222.500000000001,2416.2000000000003,3139.7002,2814.4500000000003,4511.649999999999,2577.69,2746.75
RED. 05,4347.949999999999,7869.935000000005,10001.2,9313.800000000007,10240.249999999996,9274.799999999994,13513.649999999996,12387.350000000002,4798.05,9851.500000000002,9795.849999999995,9023.050000000001,8664.34,7418.299999999997,12405.80000000001,12390.625000000005,8501.45
RED. 07,12253.299999999997,7317.799999999999,10306.349999999993,19463.754999999986,19129.25000000003,12507.9,11116.05,20300.299999999992,22699.250000000004,24931.10000000003,24435.950000000008,21439.159999999996,14529.820000000009,10358.850000000002,20661.204999999998,20904.19,22197.100000000017
FESTA 7.0,26917.79999999999,16135.1,15444.350000000002,17479.919999999995,17012.25,13261.799999999996,16096.500000000007,17184.999999999993,26471.35,20007.699999999997,20253.899999999998,17647.84999999999,21855.799999999992,26535.300000000025,15786.22000000001,19585.050000000007,22223.19
RED. 08,19114.69999999999,19833.000000000015,16808.299999999992,11156.150000000001,23381.300000000007,23423.300000000003,19906.70000000001,18136.39999999999,19169.1,21738.1,19092.450000000008,26048.600000000024,19601.9,16085.399999999996,17440.05,19040.8,25650.150000000016
RED. 09,9404.399999999998,7237.699999999997,10522.799999999997,9814.600000000008,11533.400000000007,4265.149999999999,2876.800000000001,9583.200000000004,8191.349999999996,13905.25000000001,7134.900000000002,9252.8,9257.149999999998,11495.635000000007,3080.8999999999996,12144.399999999998,7094.499999999998
PLATINO RED. 09,4997.999999999999,5871.830000000002,6673.740000000003,9082.649999999998,6141.650000000004,5294.3499999999985,7962.65,4532.500000000004,6243.649999999996,8147.699999999997,10888.999999999993,6372.699999999998,7956.67,9360.301000000001,7975.269999999998,7364.349999999996,11950.350000000004
GF 09,74372.50000000007,75604.24999999994,75397.46500000017,78958.25,82490.42500000006,64203.569999999934,98421.07499999995,98688.55,99637.65000000007,108481.04999999996,112989.14499999997,99637.24000000002,85290.35999999988,84011.1745000001,97463.88999999996,106589.7952999999,121081.51030000011
CORACAO 06,,1095.5499999999997,3033.199999999999,572.95,27.9,2088.95,,,,,,,,2195.6000000000013,,2943.4000000000005,2360.2999999999993
FAT BALL 250,153.25,861.6300000000001,1917.3499999999995,1956.3950000000007,327.65,1653.6899999999996,1174.1250000000002,1082.1,1839.200000000001,3008.949999999999,2648.8000000000015,,878.3999999999997,1644.6,1379.7,1891.6000000000001,1252.75
GF 6.5,18958.749999999993,20077.150000000012,18992.550000000014,20892.445999999974,19828.24999999999,16737.350000000002,12518.070000000002,18708.200000000004,13448.600000000006,28052.59999999999,18618.099999999984,18181.400000000005,16705,15396.920000000004,15235.944999999992,18280.449999999993,21576.95
MAXI BALL 350,3709.850000000001,1159.45,251.15000000000003,1667.7500000000002,3115.4000000000005,67.9,,2307.499999999999,,,3104.8000000000006,775.1500000000001,516.55,869.0999999999999,2406.2,281.5,397.03999999999996
PIC 260,5271.559999999998,5075.549999999998,4393.3,2598.300000000001,5447.349999999999,4640.149999999999,3127.1499999999996,1036.6000000000001,6207.55,7007.75,4076.399999999999,6412.700000000001,4303.300000000001,2637.3999999999996,6069.749999999999,3911.2800000000007,854.3500000000001
TOP 6.5,20004.649999999972,14477.466999999995,12973.449999999995,22871.69,18464.049999999985,12480.450000000008,15201.799999999997,14214.049999999992,11242.400000000003,10099.349999999997,28901.199999999997,15986.900000000003,15161.400000000007,14273.439999999999,18591.08,17879.850000000013,17666.545000000002
RED. 16,13231.67500000001,18423.05000000001,11946.020000000002,12829.399999999996,22510.74999999999,13941.050000000001,10713.949999999997,16563.950000000004,18411.599999999995,12805.65,15727.550000000001,25449.69999999999,14887.160000000003,18323.4,18806.4,23907.699999999997,22009.120000000003
