SALDOS (Kg)
PRODUTO,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
RED. 10,13746.821339536064,16184.161339535991,19386.157390828746,20531.580946990565,20625.440459699115,18881.777247538987,15321.020690012823,20900.9691587727,19266.282237668827,16954.16989104099,13006.38267963847,15318.606287496761,18834.992678092083,15687.545362612454,16077.490067735558,14432.279508569842,14119.752630505267
PLATINO RED. 10,2781.8571366520964,3430.351573522633,7111.875652082401,6994.102093381785,10032.175355827301,8052.291387906444,5388.665787961572,4589.45427792286,3268.7988418721025,3807.779150576429,1305.0569220465186,1391.3747611256522,2561.3218996522114,2112.402234139895,3622.1483953453144,4040.3413671612416,3386.5896338313623
PLATINO RED. 05,3071.7712745881227,2762.4747578128017,4640.448615319214,3958.4366783730575,4334.415335931008,3564.7132293347586,2411.9745660795165,4257.865149097451,4284.42213383021,2801.43905902106,1382.8230972175443,1055.8972395053343,1366.345897714356,1496.7745202936617,1300.2709565917376,3174.829415547289,2832.516688597233
RED. 05,11393.259428320027,9252.001566470703,10424.79726745718,11782.348462415583,10663.314009014646,10851.216847333711,9240.385408250635,13682.706889345804,15834.90109134385,9503.232559634866,7081.280702285701,6436.236249282087,7252.969913224506,6025.380150664294,4602.2342524447995,7518.017311342748,10350.593266104635
RED. 07,13442.07945420067,17221.878337699964,15242.305195015999,11938.875825945683,17738.844322115267,20255.6706016772,15473.957155259825,9603.802525822564,9390.968550426605,10775.397544967884,11045.727459324113,10489.748689640379,13267.376950121434,12097.17317089269,7499.2653863921605,9659.870009384997,13267.324375827213
FESTA 7.0,23958.81850641685,26794.72231007766,26503.585185679807,20479.772204308592,21803.926934578216,21339.27440061311,16341.076166884552,15770.6100164306,14637.003572315149,15675.674273048615,10394.90338305628,7293.800230343368,8387.479403933423,11376.729575076624,16056.560567014181,14407.627441720675,14387.902232072332
RED. 08,25749.359557058197,30421.319016460955,39301.108637743935,36879.390856479135,28042.495254937072,27989.24257296237,26076.637526045193,27541.73189324736,22742.76198353071,18314.005000182835,14113.35230996435,11127.193804087277,13691.81078614988,12931.500751772273,12002.560599054052,15988.46283905562,15587.559118284815
RED. 09,13863.566181996217,15982.718558934917,13273.796043102766,11768.256375127297,14759.252354784983,19355.421755838503,15648.181880501914,11382.254122554648,11594.853318327041,7759.621293091874,8689.011733597454,4490.684476416409,7173.161658433967,8720.329010600193,11235.488465846825,8442.132743872904,12361.475458019115
PLATINO RED. 09,5319.872008837689,4964.6242365038825,5931.533847642558,6858.571574210893,10264.406612601933,9570.41770168906,7295.458065058016,8359.44043536729,6277.077472199071,3807.5583647285093,2402.599206785877,4170.4996030930615,4127.3597840717875,4387.0669037352945,4800.59749677951,5393.4224293052375,4708.683097688267
GF 09,76689.62456695453,96016.82146585413,106324.49768838503,101381.08993745495,100025.35881131334,96016.02730138991,61185.90383194978,69150.53275195019,66650.81130249682,54380.95612553082,38350.53878094694,36173.324085360975,46499.918237092395,39212.908231539725,31859.654950681666,40154.857236897646,44141.361467181414
CORACAO 06,1072.787186556589,762.4840772920436,1199.707368571963,3296.051722871445,2504.4852209011433,1328.3091983058393,2567.7058541536762,2203.674772456621,1769.159572456621,1241.8520100153057,942.3181525661159,689.9446232501166,402.73104260495506,96.6439901394508,1681.4725970860432,820.5181518770253,2160.7335174400177
FAT BALL 250,5706.770000000495,5276.720000000497,5391.050000000505,5871.000000000485,6396.195000000473,5156.3850000004495,4872.995000000415,4342.5600000003715,4120.48000000033,4491.680000000295,4978.250000000255,6179.690000000221,4760.210000000197,4217.8900000001695,4331.450000000127,4108.490000000085,4387.310000000046
GF 6.5,19034.51865770897,22515.545348344902,27529.65315779622,32206.722937056078,37290.47247643233,39669.967239284015,35299.94876809965,33693.45146996151,32830.143620619565,13225.128557069642,7428.138098919422,5681.318929930923,8605.101751609987,14884.934763899384,11362.375117384243,13280.765306562578,7692.301855001231
MAXI BALL 350,675.1460000002476,3898.54600000025,4108.786000000236,3054.0420000002114,3702.202000000202,4907.314000000171,2804.612000000122,2003.8900000001206,3714.3100000001214,2828.396000000117,1527.0100000000991,3423.8040000000774,3591.52400000008,3056.8820000000655,2718.5740000000524,4060.242000000042,3093.670000000023
PIC 260,4042.39712316009,6710.522119964426,9043.30546492721,9951.849569357633,9843.284209723846,12191.395055665806,12129.227628159711,11572.636779553788,7874.131527413564,8165.607619049752,9405.384750583386,7874.196098930852,10654.34867292219,11360.84354587549,10189.351640220315,12516.55069409394,12884.732076909298
TOP 6.5,8637.780424017878,6688.251747865426,12264.983783306743,8018.920085836142,12798.949687501767,16391.160136315455,13178.074421036714,18089.412037698,20450.357445423713,16411.13826789173,6714.956570737453,10116.157704128682,10131.483896797143,6250.636794921229,7346.9444104444665,11932.8794216814,7776.097380079702
RED. 16,12877.993918562537,16458.02939632053,24299.74816943438,22820.015016941954,21605.873053945983,28205.95750199038,24006.109515639564,19320.93183840708,17761.809073657158,16576.155036164237,9098.147356919162,8363.96349785496,19684.643136844817,14630.444982246334,13358.074710335468,12548.208536417978,16188.448922484591
