FATURAMENTO DE PRODUTO (Kg)
PRODUTO,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
RED. 10,7122.160000000073,8689.973948707242,11543.926443838185,9799.040487291448,10406.913212160134,9964.406557526163,9198.101531240129,10491.33692110387,12057.562346627828,11422.087211402522,10656.526392141704,7712.023609404673,7962.797315479628,9876.785294876898,8587.220559165717,9036.626878064579,10882.717711273262
PLATINO RED. 10,2984.310563129464,2281.090921440232,3311.1235587006163,2998.426737554486,3204.983967920858,3409.5255999448705,2321.411510038712,3230.255436050757,3639.569691295672,3975.347228529911,3034.882160920867,2573.302861473443,3683.869665512318,3051.733838794582,2060.857028184073,3150.0517333298785,2399.664633831362
PLATINO RED. 05,2457.1465167753204,2161.4861424935884,3003.3619369461558,2757.4213424420523,3075.602106596248,3561.0886632552433,2619.459416982066,2791.6430152672397,3418.7830748091505,3898.9159618035146,3549.425857712211,2105.7513417909786,3009.2715774206945,3010.9535637019244,2637.0915410444472,2920.002726950056,3315.344988597233
RED. 05,6489.207861849323,6697.139299013527,8643.648805041597,10432.834453400943,10052.347161680931,10885.63143908307,9071.328518904827,10235.155798001955,11129.718531708986,12273.451857349166,10440.89445300361,8206.316336057582,9891.929762560212,8841.445898219492,9490.016941102062,9558.049045238118,12930.679266104635
RED. 07,8473.501116500704,9297.373142683962,13609.77936907031,13663.786503830403,16612.423720438095,17289.613446417377,16986.20462943726,20513.13397539595,21314.821005458725,24660.770085643802,24991.928769683742,18661.53173951894,15700.023779228752,14956.757784500533,18500.600377007162,17296.735633557782,20489.261194827228
FESTA 7.0,24081.896196339178,16426.237124397856,21468.162981371217,16155.765269730371,17476.902533965105,18259.998233728555,16666.966150453958,18318.606444115445,25432.679299266532,25288.47088999233,23355.00315271291,16554.170826409936,18866.54982885679,21855.469008062468,17435.153125293516,19604.77520964835,12102.994950552331
RED. 08,14442.74054059723,10953.210378717036,19230.01778126479,19993.045601542068,23434.55268197471,25335.905046917178,18441.605632797844,22935.369909716643,23597.856983347872,25938.752690218484,22078.60850587708,23483.983017937422,20362.210034377607,17014.340152718218,13454.14775999843,19441.703720770805,20336.85952418483
RED. 09,7285.247623061297,9946.622515832149,12028.339667975466,6823.604020342323,6937.230598946488,7972.389875336587,7142.7277579472675,9370.600804227612,12026.582025235162,12975.859559494429,11333.227257181048,6570.322817982441,7709.982647833772,8980.475544753375,5874.255721973921,8225.057285853787,7389.887786019112
PLATINO RED. 09,5353.247772333805,4904.9203888613265,5746.702273431668,5676.814961608958,6835.638910912877,7569.309636631045,6898.667629690724,6614.862963168222,8713.169107470558,9552.65915794263,9121.099603692808,6415.839819021272,7696.962880336493,8946.770406955786,7382.44506747427,8049.089331616967,9582.038097688272
GF 09,55045.30310110047,65296.57377746903,80340.87275093026,80313.9811261416,86499.75650992349,99033.69346944007,90456.44607999954,101188.27144945337,111907.50517696606,124511.46734458384,115166.35969558594,89310.6458482686,92577.37000555256,91364.42778085815,89168.68771378398,102603.29106971613,119381.54896718153
CORACAO 06,310.30310926454547,658.3267087200804,936.855645700517,1364.5165019703015,1204.0760225953038,849.5533441521628,364.0310816970552,434.5152000000004,527.3075624413151,299.5338574491897,252.37352931599938,287.21358064516147,306.08705246550426,610.7713930534089,860.9544452090179,1603.184634437008,1470.4941914400167
FAT BALL 250,583.2999999999986,747.2999999999918,1437.40000000002,1431.2000000000126,1567.4600000000228,1937.0800000000345,1704.5600000000431,1304.180000000042,1468.0000000000352,2522.380000000039,1447.3600000000351,1419.4800000000228,1420.7200000000278,1531.040000000042,1602.6600000000417,1612.7800000000393,1717.5400000000454
GF 6.5,15477.723309364063,15063.042190548696,14315.480220740155,15808.69646062372,17448.75523714831,21107.368471184363,14124.567298138143,19571.507849341946,33053.61506354993,33849.59045815021,20364.919168988483,15257.617178320941,10425.166987710603,18919.479646515145,13317.554810821657,23868.91345156134,23525.263932601232
MAXI BALL 350,486.4499999999984,949.2100000000141,1305.8940000000246,1019.5900000000095,1910.2880000000316,2170.602000000049,800.7220000000013,597.0799999999983,885.9140000000041,1301.3860000000177,1208.0060000000224,607.4299999999974,1051.192000000014,1207.408000000013,1064.53200000001,1248.0720000000194,1349.0420000000224
PIC 260,2603.435003195662,2742.7666550372137,3484.7558955695777,2706.865359633787,3099.23915405804,4702.317427506094,3683.740848605924,4735.105252140224,5916.073908363812,5767.972868466367,5607.588651652533,3632.5474260086635,3596.8051270467004,3808.8919056551745,3742.550946126374,3543.098617184641,4638.644076909301
TOP 6.5,21954.178676152424,8900.734964558678,17219.513697470597,18091.660398334374,14871.839551186296,15693.53571527875,10290.462383338712,11853.10459227428,15281.619177531988,19795.531697154274,25499.99886660877,15971.573807331542,19042.24710187592,13177.132384476761,14005.144988763068,22036.63204160171,13046.321850479704
RED. 16,9651.639522242018,10581.33122688616,13425.75315249243,14043.541962995967,15910.665551955593,18140.897986350818,15399.127677232482,18123.072764749926,19597.254037492916,20283.657679245076,16461.733859064203,14129.020361010133,19941.358154598485,19595.770271910867,19616.26617391749,20267.459613933384,26538.176779316593
