PREVISÃO - FATURAMENTO DE PRODUTO (Kg)
PRODUTO,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00
RED. 10,8166.560563947949,8725.23851175497,10446.126385647109,10869.96918772621,12002.327128520052,12896.965432947514,10533.990714017695,12450.836137606733,10651.938715005263,11447.100254750194,10918.657951968426,5620.786038988019,5290.2999478712345,6687.444752359672,7200.273250448739,7965.440985386316
PLATINO RED. 10,3070.9790516904504,3117.2333455376447,3690.6212954565567,4349.307142884356,4474.071272611244,3934.224195417445,3149.133014722317,3573.973871364573,3894.769425738691,4502.348800410026,4799.20237435809,2082.5934338388847,3010.4150000000004,2308.0900000000006,3289.839999999999,2940.3299999999995
PLATINO RED. 05,2353.0576794863678,2473.0881545816064,3486.749113093154,3458.660794239748,3004.7239974953923,3500.832485016496,2818.423532188134,3212.035669949529,3750.9257218992975,3692.775202200779,3599.0533907931513,1688.7373890599283,2166.77118710948,2450.6941765472043,2626.8320550640456,3030.6417488924467
RED. 05,6729.074150661814,7014.787522303115,8548.077493283861,7714.236329087057,8310.319394961583,11093.378919791809,7971.022942043377,10198.863813835269,10104.86532356332,11110.015347476972,10119.152902390766,4443.355400011066,8304.687370171841,8934.874684904948,9935.87295663472,11460.655548829931
RED. 07,10003.79007305711,10411.010149096343,12763.065971014488,13815.960738132617,14405.300480187545,15026.863470126696,11675.022030185208,15304.359807378612,15949.349618896662,17844.835909195168,16726.900394567372,7500.8682406680455,11530.291031667964,12446.226561258296,13490.43375396851,17132.11333951613
FESTA 7.0,16501.593231231356,17371.502253214854,20451.15969203098,22179.43844670661,23281.649144320974,24759.461608292953,18274.952995722073,21959.169852409133,26597.76689335823,27204.98721856883,24331.64564233877,10763.041619221673,9829.124557441044,11813.386356593732,10965.631950580115,16372.376167466824
RED. 08,16790.73332639376,17562.371268095012,20867.73069469016,20447.82909904739,21186.16544912087,25520.95350387637,19301.18146405116,22737.49032500643,22455.21467877724,25417.278138455404,24227.02949303101,10965.230843576792,14527.368206215671,13603.32999898802,16624.39050093606,17666.815151924777
RED. 09,8175.712054335137,8718.530026306502,10108.096681150426,10427.913283726159,11159.132129062316,11579.089152991095,8129.367829739118,9994.064462523073,10296.698502304469,11507.499214500269,11054.532287266198,4776.424181848399,7594.836292036764,9797.835528595977,9719.762472012118,9356.808197714981
PLATINO RED. 09,4445.9631995623095,4892.825386810614,5765.228029375958,5995.568307238105,6432.0152151887505,6993.376234878379,5903.559752040886,6967.300829550984,7383.897612568578,8767.502609480463,8721.057693891125,3807.7355493291484,6115.012871685459,6424.221263347182,6729.852135256683,7280.833844178018
GF 09,62491.117390389714,64947.714870229,78074.94472361429,80672.13597423499,90860.11420475946,94167.86785022303,70637.62176469556,87565.86151883495,89317.01521834628,100986.2555662006,90592.98454388962,42097.52518757032,70967.03335308123,72216.47105078245,85407.70524497215,90813.9767922264
CORACAO 06,466.97249565304827,882.0789531121812,1539.0994794753278,1763.3482349810577,1406.7074995910446,865.8976705532491,809.8090649577111,651.5871594234511,512.5103281593288,483.8189869820623,358.7282258264821,115.50498346765868,289.0833610863717,656.4424868620614,1134.8588540815015,1697.180524138491
FAT BALL 250,881.0370427480154,946.5860517694159,1150.6453004640205,1070.613153599263,1156.5387873856669,1370.078631506585,1285.2551119105249,1441.318093925583,1449.8735571914187,1581.6443616469203,1457.6300684555986,696.1579221281972,1015.670675899125,951.1273234030253,1378.077648558629,1257.2335980442301
GF 6.5,17729.80593399237,17653.034273169906,18303.893884223686,16697.361165796174,17654.87993343722,23709.42682091101,17632.205164553397,23135.342134805356,23751.092202143238,24283.471799160427,23915.76285272724,10628.206775379724,13137.378460766806,9271.501835281131,12466.518649709518,12613.1968085335
MAXI BALL 350,838.0174029004061,890.9966943582895,1106.3120320945907,1082.7747232386382,1128.461581380535,1297.76357979154,703.2365384840936,839.3647109861682,840.9482130684162,803.2125895178958,682.0485814644927,322.616445272662,947.572811552336,894.9644334726245,1334.6198559595948,1148.6775946809914
PIC 260,2838.835034582964,2909.3202329497135,3456.2390355892344,3366.573373845587,3587.212929236309,4154.959887982506,3009.3065853134267,3926.7345387459204,3790.9775641634983,3861.1206777352018,3831.8987026497484,1861.362222396305,3790.0503963927667,3558.502699529095,3843.8047751154636,4136.9940594566915
TOP 6.5,11324.08057395952,12648.288269201359,14465.206329072309,14210.796581331437,16120.559883130427,16860.37074130208,13611.478043701423,17317.97843587481,16583.401477849904,19117.984690579757,16453.218233867894,7163.736860016679,8277.801908635785,11199.032224483302,11365.226642542435,12516.4719140865
RED. 16,10557.960772386696,11169.6537970707,13072.12295679531,13680.32139824027,15391.138304671325,16579.11414999714,12413.29593824704,14765.51904932353,15042.575355217166,17091.24403561499,15286.349802209688,6967.07061491515,12778.883780444681,14929.9818409989,15874.429210890097,16865.84361706183
